GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
AK9,62.1020319,0.362753019,0.322931048,1.123314163,0.261304091,0.610312367,OK
AKAIN1,0,NaN,NaN,NaN,NaN,NaN,Low
AKAP1,1641.273922,-0.099577206,0.123733797,-0.804769662,0.420952612,0.725811143,OK
AKAP10,817.4086473,0.368993079,0.145926794,2.528617735,0.011451267,0.281403523,OK
AKAP11,522.5137584,0.155323001,0.190955785,0.813397724,0.415990064,0.722358256,OK
AKAP12,4677.303844,0.191329511,0.111658986,1.713516466,0.086617567,0.448028706,OK
AKAP13,2437.45199,-0.213534909,0.11573449,-1.845041249,0.065031538,0.418973277,OK
AKAP14,0.104383032,0.255895622,4.080472857,0.062712247,0.949995645,NaN,Low
AKAP17A,826.047865,-0.027262577,0.147772807,-0.184489807,0.853629223,0.947120129,OK
AKAP2,837.7443258,0.23395661,0.138753071,1.686136445,0.091769522,0.453361123,OK
AKAP3,7.096772018,-0.064524581,0.837709847,-0.077024976,0.938603676,NaN,Low
AKAP4,0,NaN,NaN,NaN,NaN,NaN,Low
AKAP5,63.32316884,0.496614107,0.317823297,1.562547839,0.118158985,0.480363403,OK
AKAP6,25.37744164,0.068965322,0.445957718,0.154645429,0.877100854,0.955038873,OK
AKAP7,49.18755522,0.287988313,0.362753366,0.793895632,0.427256193,0.730319233,OK
AKAP8,458.5517723,-0.151718887,0.143781532,-1.055204273,0.29133191,0.635572323,OK
AKAP8L,574.8822042,0.049306914,0.156702699,0.314652613,0.753025427,0.907553272,OK
AKAP9,737.9293188,0.290344571,0.181827611,1.596812326,0.110307548,0.472389731,OK
AKIP1,427.3448291,-0.096007969,0.147406033,-0.651316413,0.514842255,0.782012949,OK
AKIRIN1,765.4471937,0.250389994,0.134897603,1.856148573,0.063432384,0.415871543,OK
AKIRIN2,424.1545115,-0.186852476,0.149678469,-1.248359084,0.211899586,0.568854155,OK
AKNA,159.3277355,-0.22856242,0.220871936,-1.034818745,0.300753567,0.641563627,OK
AKNAD1,4.356095097,0.755850308,1.046029571,0.722589809,0.469931931,NaN,Low
AKR1A1,1339.927234,-0.342056534,0.127575993,-2.681198296,0.007335903,0.238925802,OK
AKR1B1,38009.67851,0.154046349,0.110295354,1.396671243,0.162512456,0.525934655,OK
AKR1B10,54986.50994,-0.001444117,0.109133915,-0.013232519,0.989442286,0.995086179,OK
AKR1B15,318.9734882,-0.026002923,0.166466226,-0.156205396,0.875871123,0.955010685,OK
AKR1C1,20552.16811,0.016955447,0.111195631,0.15248303,0.878805974,0.955852429,OK
AKR1C2,49772.35758,0.21286729,0.13613559,1.563641739,0.117901727,0.480363403,OK
AKR1C3,38266.72225,0.09436425,0.111985815,0.842644674,0.399427198,0.70963121,OK
AKR1C4,13.32757777,1.147021488,0.602347212,1.904253006,0.056877241,NaN,Low
AKR1C6P,0.130373766,-1.622020315,4.07370695,-0.398168139,0.69050625,NaN,Low
AKR1C8P,0.636985829,0.229860206,2.710366169,0.084807805,0.932414188,NaN,Low
AKR1D1,0,NaN,NaN,NaN,NaN,NaN,Low
AKR1E2,232.0232186,-0.06418427,0.171552719,-0.374137296,0.708302172,0.886140721,OK
AKR7A2,854.0325067,-0.192714274,0.137239329,-1.404220459,0.160253212,0.523940255,OK
AKR7A2P1,0.596488737,0.035793527,2.770303594,0.012920435,0.989691271,NaN,Low
AKR7A3,1.816119711,-0.528471345,1.629561893,-0.324302714,0.745708865,NaN,Low
AKR7L,2.904823359,0.139420017,1.231072995,0.113250813,0.909831712,NaN,Low
AKT1,2859.565284,-0.146218619,0.136608145,-1.070350667,0.284461496,0.630136755,OK
AKT1S1,1488.243327,-0.251468351,0.141331356,-1.779282092,0.075193525,0.431466772,OK
AKT2,4008.719218,-0.190370011,0.129569779,-1.46924702,0.141765801,0.50641698,OK
AKT3,1090.766435,0.347791282,0.148209878,2.346613379,0.018944901,0.317239713,OK
AKTIP,418.42486,0.157346781,0.178123683,0.883356883,0.377043479,0.693751848,OK
ALAD,529.2866793,0.01440509,0.146419444,0.098382355,0.921628686,0.970758447,OK
ALAS1,1068.605848,-0.042894891,0.137420666,-0.31214294,0.754931894,0.908604883,OK
ALAS2,0.364745268,1.647503096,3.559162606,0.462890651,0.643442749,NaN,Low
ALB,0.313149097,1.448724821,4.015268631,0.36080396,0.718246003,NaN,Low
ALCAM,2759.15303,0.049468366,0.111836401,0.442327953,0.658251906,0.862755507,OK
ALDH16A1,777.8920281,-0.402608384,0.154325565,-2.608824952,0.00908537,0.257994743,OK
ALDH18A1,1711.049507,0.047238085,0.122024173,0.387120712,0.698666845,0.882424197,OK
ALDH1A1,119263.4096,0.283744007,0.130049114,2.181821922,0.029122678,0.346280528,OK
ALDH1A2,0,NaN,NaN,NaN,NaN,NaN,Low
ALDH1A3,410.3570355,-0.00951325,0.148483747,-0.064069303,0.948915044,0.980235937,OK
ALDH1B1,1432.467756,-0.061151364,0.121670321,-0.502598854,0.615246335,0.839443136,OK
